Id,NameHCR,RSSDHCR,Excl_Specialty,Excl_Foreign,Excl_Nocore,Excl_Noloans,Excl_Credit,CERT,NameFull,Address,City,Stalp,Zip,Stcnty,Year,Callym,CB,Asset,HCAsset,Size,ForAsset,LoanToAsset,CoreRatio,Max_Deposits,Office_Count,Unique_Metros,State_Count,Business_Line,Meets_LTA,Meets_Core,Meets_Deposits,Meets_Offices,Meets_LrgMSA,Meets_States,Run_Date
1111435,STATE STREET CORP,0001111435,0,1,0,0,0,14,STATE STREET BANK AND TRUST COMPANY,1 LINCOLN ST,BOSTON,MA,02111,25025,2021,202112,0,"311,063,000","311,063,000",L,37.11%,10.47%,49.52%,176455000,3,3,3,No Lending Specialty,NA,NA,NA,NA,NA,NA,20220310
35,AUBURN NATIONAL BCORP INC,0001129533,0,0,0,0,0,35,AUBURNBANK,132 N GAY ST,AUBURN,AL,36830,01081,2021,202112,1,"1,104,523","1,104,523",S,,41.18%,90.26%,501511,8,0,1,No Lending Specialty,NA,NA,NA,NA,NA,NA,20220310
39,RBC INC,0002526755,0,0,0,0,0,39,ROBERTSON BANKING COMPANY,216 N. WALNUT AVE.,DEMOPOLIS,AL,36732,01091,2021,202112,1,"412,189","412,189",S,,63.80%,90.78%,191651,7,1,1,Commercial Real Estate Lending Specialization,NA,NA,NA,NA,NA,NA,20220310
41,PHENIX-GIRARD BANCSHARES INC,0002013246,0,0,0,0,0,41,PHENIX-GIRARD BANK,801 13TH ST.,PHENIX CITY,AL,36867,01113,2021,202112,1,"285,239","285,239",S,,25.62%,84.99%,181806,4,0,1,No Lending Specialty,NA,NA,NA,NA,NA,NA,20220310
46,MERCHANTS FINL SERVICES INC,0001082955,0,0,0,0,0,46,MERCHANTS BANK OF ALABAMA,"900 2ND AVE, SW",CULLMAN,AL,35055,01043,2021,202112,1,"382,952","382,952",S,,49.05%,90.30%,225479,5,0,1,No Lending Specialty,NA,NA,NA,NA,NA,NA,20220310
49,,,0,0,0,0,0,49,BANK OF EVERGREEN,146 W. FRONT ST.,EVERGREEN,AL,36401,01035,2021,202112,1,"75,713","75,713",S,,33.68%,83.70%,62824,1,0,1,No Lending Specialty,NA,NA,NA,NA,NA,NA,20220310
50,INDEPENDENT BANCSHARES EMPLOYE,0003587294,0,0,0,0,0,50,COMMUNITY SPIRIT BANK,200 4TH AVE. SW,RED BAY,AL,35582,01059,2021,202112,1,"181,978","181,978",S,,58.97%,88.58%,86405,5,0,2,No Lending Specialty,NA,NA,NA,NA,NA,NA,20220310
51,FIRST VERNON BANCSHARES INC,0001139998,0,0,0,0,0,51,THE BANK OF VERNON,44825 HWY. 17,VERNON,AL,35592,01075,2021,202112,1,"225,653","225,653",S,,56.31%,86.96%,108158,4,0,2,Multi Specialty Lender,NA,NA,NA,NA,NA,NA,20220310
52,CITIZENS BCORP OF WINFIELD INC,0001833616,0,0,0,0,0,52,THE CITIZENS BANK OF WINFIELD,236 BANKHEAD HWY.,WINFIELD,AL,35594,01093,2021,202112,1,"314,022","314,022",S,,17.79%,57.19%,175146,1,0,1,No Lending Specialty,NA,NA,NA,NA,NA,NA,20220310
54,GADSDEN CORP THE,0001079067,0,0,0,0,0,54,THE EXCHANGE BANK OF ALABAMA,7170 6TH AVE,ALTOONA,AL,35952,01055,2021,202112,1,"365,371","365,371",S,,47.93%,85.99%,118384,5,0,1,No Lending Specialty,NA,NA,NA,NA,NA,NA,20220310
